Порядковый номер,Район,Адрес,Количество видеокамер
18.250,Центральный район,"Воронежская улица, дом 15-17",2
18.251,Центральный район,"Воронежская улица, дом 22-24",7
18.252,Центральный район,"Воронежская улица, дом 26-28",4
18.253,Центральный район,"Воронежская улица, дом 6-8",2
18.254,Центральный район,"Воскресенская набережная, дом 10",1
18.255,Центральный район,"Воскресенская набережная, дом 12",1
18.256,Центральный район,"Воскресенская набережная, дом 24",11
18.257,Центральный район,"Воскресенская набережная, дом 28, литера Б",5
18.258,Центральный район,"Воскресенская набережная, дом 4",2
18.259,Центральный район,"Восстания улица, дом 40",1
18.260,Центральный район,"Восстания улица, дом 49",3
18.261,Центральный район,"г.Санкт-Петербург, набережная Робеспьера, дом 6-8",2
18.262,Центральный район,"Гагаринская улица, дом 11",3
18.263,Центральный район,"Гагаринская улица, дом 12",2
18.264,Центральный район,"Гагаринская улица, дом 13",2
18.265,Центральный район,"Гагаринская улица, дом 15",2
18.266,Центральный район,"Гагаринская улица, дом 16",4
18.267,Центральный район,"Гагаринская улица, дом 17",4
18.268,Центральный район,"Гагаринская улица, дом 18",4
18.269,Центральный район,"Гагаринская улица, дом 19",2
18.270,Центральный район,"Гагаринская улица, дом 20",2
18.271,Центральный район,"Гагаринская улица, дом 22",1
18.272,Центральный район,"Гагаринская улица, дом 26",5
18.273,Центральный район,"Гагаринская улица, дом 28",1
18.274,Центральный район,"Гагаринская улица, дом 3, литера Д",1
18.275,Центральный район,"Гагаринская улица, дом 30",2
18.276,Центральный район,"Гагаринская улица, дом 5",2
18.277,Центральный район,"Гагаринская улица, дом 6/1",2
18.278,Центральный район,"Гангутская улица, дом 14",1
18.279,Центральный район,"Гангутская улица, дом 16",7
18.280,Центральный район,"Гангутская улица, дом 8",3
18.281,Центральный район,"Гончарная улица, дом 10",2
18.282,Центральный район,"Гончарная улица, дом 11",3
18.283,Центральный район,"Гончарная улица, дом 11а",1
18.284,Центральный район,"Гончарная улица, дом 13",4
18.285,Центральный район,"Гончарная улица, дом 15",10
18.286,Центральный район,"Гончарная улица, дом 15а",4
18.287,Центральный район,"Гончарная улица, дом 18",2
18.288,Центральный район,"Гончарная улица, дом 20",5
18.289,Центральный район,"Гончарная улица, дом 23",7
18.290,Центральный район,"Гончарная улица, дом 23, литера В",1
18.291,Центральный район,"Гончарная улица, дом 24",4
18.292,Центральный район,"Гончарная улица, дом 25",2
18.293,Центральный район,"Гончарная улица, дом 3",4
18.294,Центральный район,"Гончарная улица, дом 4",4
18.295,Центральный район,"Гончарная улица, дом 5",5
18.296,Центральный район,"Гончарная улица, дом 6, литера Г",1
18.297,Центральный район,"город Петергоф, улица Морского Десанта, дом 3, литера Б, опора освещения",2
18.298,Центральный район,"Город Пушкинская улица, дом 13",1
18.299,Центральный район,"Гороховая улица, дом 14/26",1
18.300,Центральный район,"Гороховая улица, дом 16/71",2
18.301,Центральный район,"Гороховая улица, дом 2/6",1
18.302,Центральный район,"Гороховая улица, дом 20",1
18.303,Центральный район,"Гороховая улица, дом 24/24",2
18.304,Центральный район,"Гороховая улица, дом 26",7
18.305,Центральный район,"Гороховая улица, дом 28",4
18.306,Центральный район,"Гороховая улица, дом 30",4
18.307,Центральный район,"Гороховая улица, дом 32",9
18.308,Центральный район,"Гороховая улица, дом 32, литера Б",1
18.309,Центральный район,"Гороховая улица, дом 34",14
18.310,Центральный район,"Гороховая улица, дом 38",2
18.311,Центральный район,"Гороховая улица, дом 4",7
18.312,Центральный район,"Гороховая улица, дом 40",1
18.313,Центральный район,"Гороховая улица, дом 42",5
18.314,Центральный район,"Гороховая улица, дом 46",5
18.315,Центральный район,"Гороховая улица, дом 48",9
18.316,Центральный район,"Гороховая улица, дом 50",4
18.317,Центральный район,"Гороховая улица, дом 8/13",6
18.318,Центральный район,"Графский переулок, дом 1",3
18.319,Центральный район,"Графский переулок, дом 10/11",3
18.320,Центральный район,"Графский переулок, дом 6/16",1
18.321,Центральный район,"Греческий проспект, дом 11",6
18.322,Центральный район,"Греческий проспект, дом 12",6
18.323,Центральный район,"Греческий проспект, дом 15",6
18.324,Центральный район,"Греческий проспект, дом 17",2
18.325,Центральный район,"Греческий проспект, дом 19",1
18.326,Центральный район,"Греческий проспект, дом 21",6
18.327,Центральный район,"Греческий проспект, дом 23",12
18.328,Центральный район,"Греческий проспект, дом 25",4
18.329,Центральный район,"Греческий проспект, дом 27/2",3
18.330,Центральный район,"Греческий проспект, дом 29",1
18.331,Центральный район,"Греческий проспект, дом 5",2
18.332,Центральный район,"Гродненский переулок, дом 12-14",6
18.333,Центральный район,"Гродненский переулок, дом 18",1
18.334,Центральный район,"Гродненский переулок, дом 6",3
18.335,Центральный район,"Гродненский переулок, дом 8-10",1
18.336,Центральный район,"Дворцовая набережная, дом 12",2
18.337,Центральный район,"Дворцовая набережная, дом 18",2
18.338,Центральный район,"Дворцовая набережная, дом 32",1
18.339,Центральный район,"Дворцовая набережная, дом 38",6
18.340,Центральный район,"Дворцовая набережная, дом 38, опора освещения",8
18.341,Центральный район,"Дворцовая набережная, дом 4",6
18.342,Центральный район,"Дворцовая набережная, дом 4, опора освещения",2
18.343,Центральный район,"Дворцовая набережная, дом 4, остановочный павильон общественного транспорта",8
18.344,Центральный район,"Дворцовая площадь, дом 10",2
18.345,Центральный район,"Дворцовая площадь, дом 6-8",2
18.346,Центральный район,"Дворцовый мост, опора освещения",3
18.347,Центральный район,"Дегтярная улица, дом 11/35",2
18.348,Центральный район,"Дегтярная улица, дом 15",1
18.349,Центральный район,"Дегтярная улица, дом 18/32",2
18.350,Центральный район,"Дегтярная улица, дом 20/25",7
18.351,Центральный район,"Дегтярная улица, дом 31",3
18.352,Центральный район,"Дегтярная улица, дом 32-36",18
18.353,Центральный район,"Дегтярная улица, дом 9/32",7
18.354,Центральный район,"Дегтярный переулок, дом 14/5",1
18.355,Центральный район,"Дегтярный переулок, дом 24",1
18.356,Центральный район,"Дегтярный переулок, дом 28",1
18.357,Центральный район,"Дегтярный переулок, дом 28, литера Б",3
18.358,Центральный район,"Дегтярный переулок, дом 6, литера В",1
18.359,Центральный район,"Дегтярный переулок, дом 8-10",5
18.360,Центральный район,"Джамбула, дом 10",5
18.361,Центральный район,"Дмитровский переулок, дом 11",4
18.362,Центральный район,"Дмитровский переулок, дом 12",1
18.363,Центральный район,"Дмитровский переулок, дом 12, литера Б",1
18.364,Центральный район,"Дмитровский переулок, дом 16-18/6",3
18.365,Центральный район,"Дмитровский переулок, дом 17",2
18.366,Центральный район,"Дмитровский переулок, дом 4",2
18.367,Центральный район,"Дмитровский переулок, дом 7",3
18.368,Центральный район,"Дмитровский переулок, дом 8",4
18.369,Центральный район,"Дмитровский переулок, дом 9",4
18.370,Центральный район,"Днепропетровская улица, дом 13",3
18.371,Центральный район,"Днепропетровская улица, дом 29",1
18.372,Центральный район,"Днепропетровская улица, дом 3",5
18.373,Центральный район,"Днепропетровская улица, дом 3, литера Б",1
18.374,Центральный район,"Днепропетровская улица, дом 35, литера В",1
18.375,Центральный район,"Днепропетровская улица, дом 41",1
18.376,Центральный район,"Днепропетровская улица, дом 41, литера Б",1
18.377,Центральный район,"Днепропетровская улица, дом 43",1
18.378,Центральный район,"Днепропетровская улица, дом 45",2
18.379,Центральный район,"Днепропетровская улица, дом 6",1
18.380,Центральный район,"Днепропетровская улица, дом 8, литера В",1
18.381,Центральный район,"Днепропетровская улица, дом 8, литера И",2
18.382,Центральный район,"Днепропетровская улица, дом 9",1
18.383,Центральный район,"Думская улица, дом 4",13
18.384,Центральный район,"Думская улица, дом 5/22",17
18.385,Центральный район,"Думская улица, дом 5/22, литера Б",2
18.386,Центральный район,"Думская улица, дом 5/22, литера В",1
18.387,Центральный район,"Загородный проспект, дом 10",2
18.388,Центральный район,"Загородный проспект, дом 12",4
18.389,Центральный район,"Загородный проспект, дом 13",6
18.390,Центральный район,"Загородный проспект, дом 14",6
18.391,Центральный район,"Загородный проспект, дом 15",6
18.392,Центральный район,"Загородный проспект, дом 16",4
18.393,Центральный район,"Загородный проспект, дом 17",7
18.394,Центральный район,"Загородный проспект, дом 18/2",2
18.395,Центральный район,"Загородный проспект, дом 27/21",3
18.396,Центральный район,"Загородный проспект, дом 34",4
18.397,Центральный район,"Загородный проспект, дом 35",3
18.398,Центральный район,"Загородный проспект, дом 36",3
18.399,Центральный район,"Загородный проспект, дом 4",2
18.400,Центральный район,"Загородный проспект, дом 42",1
18.401,Центральный район,"Загородный проспект, дом 52",3
18.402,Центральный район,"Загородный проспект, дом 6",2
18.403,Центральный район,"Загородный проспект, дом 9",13
18.404,Центральный район,"Захарьевская улица, дом 1",3
18.405,Центральный район,"Захарьевская улица, дом 11",5
18.406,Центральный район,"Захарьевская улица, дом 13",5
18.407,Центральный район,"Захарьевская улица, дом 14",2
18.408,Центральный район,"Захарьевская улица, дом 14, литера Г",4
18.409,Центральный район,"Захарьевская улица, дом 15",2
18.410,Центральный район,"Захарьевская улица, дом 16",6
18.411,Центральный район,"Захарьевская улица, дом 17",7
18.412,Центральный район,"Захарьевская улица, дом 19",5
18.413,Центральный район,"Захарьевская улица, дом 21",2
18.414,Центральный район,"Захарьевская улица, дом 23",4
18.415,Центральный район,"Захарьевская улица, дом 27",1
18.416,Центральный район,"Захарьевская улица, дом 3",2
18.417,Центральный район,"Захарьевская улица, дом 39",1
18.418,Центральный район,"Захарьевская улица, дом 6",2
18.419,Центральный район,"Захарьевская улица, дом 7",4
18.420,Центральный район,"Заячий переулок, дом 3",2
18.421,Центральный район,"Заячий переулок, дом 4, корпус 3",1
18.422,Центральный район,"Заячий переулок, дом 6/18",2
18.423,Центральный район,"Звенигородская улица, дом 12/17",7
18.424,Центральный район,"Звенигородская улица, дом 24",3
18.425,Центральный район,"Звенигородская улица, дом 30а",1
18.426,Центральный район,"Звенигородская улица, дом 6",6
18.427,Центральный район,"Звенигородская улица, дом 6, литера В",2
18.428,Центральный район,"Инженерная улица, дом 10",1
18.429,Центральный район,"Инженерная улица, дом 2-4",1
18.430,Центральный район,"Инженерная улица, дом 2-4, литера Б, остановочный павильон общественного транспорта",2
18.431,Центральный район,"Инженерная улица, дом 2-4, литера Г",2
18.432,Центральный район,"Инженерная улица, дом 4/1",4
18.433,Центральный район,"Инженерная улица, дом 6",2
18.434,Центральный район,"Исполкомская улица, дом 12",1
18.435,Центральный район,"Исполкомская улица, дом 16",4
18.436,Центральный район,"Исполкомская улица, дом 5",2
18.437,Центральный район,"Исполкомская улица, дом 8, литера В",1
18.438,Центральный район,"Исполкомская улица, дом 9-11",4
18.439,Центральный район,"Итальянская улица, дом 10/5",4
18.440,Центральный район,"Итальянская улица, дом 12, литера Е",2
18.441,Центральный район,"Итальянская улица, дом 16/19",4
18.442,Центральный район,"Итальянская улица, дом 29",6
18.443,Центральный район,"Итальянская улица, дом 4",1
18.444,Центральный район,"Итальянская улица, дом 6/4",2
18.445,Центральный район,"Кавалергардская улица, дом 10",1
18.446,Центральный район,"Кавалергардская улица, дом 14-16",2
18.447,Центральный район,"Кавалергардская улица, дом 14-16, литера Б",2
18.448,Центральный район,"Кавалергардская улица, дом 18",3
18.449,Центральный район,"Кавалергардская улица, дом 19",3
18.450,Центральный район,"Кавалергардская улица, дом 2/48",1
18.451,Центральный район,"Кавалергардская улица, дом 20",7
18.452,Центральный район,"Кавалергардская улица, дом 21",7
18.453,Центральный район,"Кавалергардская улица, дом 22",1
18.454,Центральный район,"Кавалергардская улица, дом 26",1
18.455,Центральный район,"Кавалергардская улица, дом 3",1
18.456,Центральный район,"Кавалергардская улица, дом 30, литера Б",1
18.457,Центральный район,"Кавалергардская улица, дом 4",4
18.458,Центральный район,"Кавалергардская улица, дом 5",4
18.459,Центральный район,"Кавалергардская улица, дом 8",1
18.460,Центральный район,"Кавалергардская улица, дом 9-11-13",1
18.461,Центральный район,"Казанская улица, дом 1/25",1
18.462,Центральный район,"Казанская улица, дом 16",2
18.463,Центральный район,"Казанская улица, дом 17-19",2
18.464,Центральный район,"Казанская улица, дом 18",2
18.465,Центральный район,"Казанская улица, дом 2",2
18.466,Центральный район,"Казанская улица, дом 3",1
18.467,Центральный район,"Казанская улица, дом 4",2
18.468,Центральный район,"Казанская улица, дом 6",1
18.469,Центральный район,"Казанская улица, дом 8-10",2
18.470,Центральный район,"Казанская улица, дом 9",4
18.471,Центральный район,"Калужский переулок, дом 7",5
18.472,Центральный район,"Караванная улица, дом 10",1
18.473,Центральный район,"Караванная улица, дом 11/64",2
18.474,Центральный район,"Караванная улица, дом 14, литера Б",3
18.475,Центральный район,"Караванная улица, дом 24-26",2
18.476,Центральный район,"Караванная улица, дом 3/35",4
18.477,Центральный район,"Караванная улица, дом 5",5
18.478,Центральный район,"Караванная улица, дом 6",2
18.479,Центральный район,"Караванная улица, дом 7",2
18.480,Центральный район,"Кирилловская улица, дом 1",7
18.481,Центральный район,"Кирилловская улица, дом 12",4
18.482,Центральный район,"Кирилловская улица, дом 12, литера Б",1
18.483,Центральный район,"Кирилловская улица, дом 13",3
18.484,Центральный район,"Кирилловская улица, дом 15/20",3
18.485,Центральный район,"Кирилловская улица, дом 17",2
18.486,Центральный район,"Кирилловская улица, дом 18",7
18.487,Центральный район,"Кирилловская улица, дом 20",5
18.488,Центральный район,"Кирилловская улица, дом 22",5
18.489,Центральный район,"Кирилловская улица, дом 4",2
18.490,Центральный район,"Кирочная улица, дом 11",4
18.491,Центральный район,"Кирочная улица, дом 12",11
18.492,Центральный район,"Кирочная улица, дом 13",2
18.493,Центральный район,"Кирочная улица, дом 17",12
18.494,Центральный район,"Кирочная улица, дом 18",3
18.495,Центральный район,"Кирочная улица, дом 19",5
18.496,Центральный район,"Кирочная улица, дом 22",7
18.497,Центральный район,"Кирочная улица, дом 23",3
18.498,Центральный район,"Кирочная улица, дом 28",2
18.499,Центральный район,"Кирочная улица, дом 28а",1
18.500,Центральный район,"Кирочная улица, дом 29",3
18.501,Центральный район,"Кирочная улица, дом 3",3
18.502,Центральный район,"Кирочная улица, дом 30, остановочный павильон общественного транспорта",2
18.503,Центральный район,"Кирочная улица, дом 31, корпус 2",4
18.504,Центральный район,"Кирочная улица, дом 36",3
18.505,Центральный район,"Кирочная улица, дом 37",4
18.506,Центральный район,"Кирочная улица, дом 39",3
18.507,Центральный район,"Кирочная улица, дом 4",1
18.508,Центральный район,"Кирочная улица, дом 41, литера В, остановочный павильон общественного транспорта",2
18.509,Центральный район,"Кирочная улица, дом 42",3
18.510,Центральный район,"Кирочная улица, дом 43",3
18.511,Центральный район,"Кирочная улица, дом 44, остановочный павильон общественного транспорта",2
18.512,Центральный район,"Кирочная улица, дом 45",4
18.513,Центральный район,"Кирочная улица, дом 47",4
18.514,Центральный район,"Кирочная улица, дом 49",2
18.515,Центральный район,"Кирочная улица, дом 5",9
18.516,Центральный район,"Кирочная улица, дом 50",5
18.517,Центральный район,"Кирочная улица, дом 50, литера Б",5
18.518,Центральный район,"Кирочная улица, дом 50, литера В",2
18.519,Центральный район,"Кирочная улица, дом 50, литера Г",4
18.520,Центральный район,"Кирочная улица, дом 50, литера Е",3
18.521,Центральный район,"Кирочная улица, дом 50, литера З",3
18.522,Центральный район,"Кирочная улица, дом 50, литера И",1
18.523,Центральный район,"Кирочная улица, дом 50, литера К",1
18.524,Центральный район,"Кирочная улица, дом 50, литера Р",2
18.525,Центральный район,"Кирочная улица, дом 53/46",2
18.526,Центральный район,"Кирочная улица, дом 54",1
18.527,Центральный район,"Кирочная улица, дом 55",1
18.528,Центральный район,"Кирочная улица, дом 56, литера Б, остановочный павильон общественного транспорта",2
18.529,Центральный район,"Кирочная улица, дом 59",2
18.530,Центральный район,"Кирочная улица, дом 6",3
18.531,Центральный район,"Кирочная улица, дом 61",2
18.532,Центральный район,"Кирочная улица, дом 7",3
18.533,Центральный район,"Кирочная улица, дом 8",9
18.534,Центральный район,"Кирочная улица, дом 8, литера Б",5
18.535,Центральный район,"Ковенский переулок, дом 10а",1
18.536,Центральный район,"Ковенский переулок, дом 11",3
18.537,Центральный район,"Ковенский переулок, дом 13",4
18.538,Центральный район,"Ковенский переулок, дом 19-21",2
18.539,Центральный район,"Ковенский переулок, дом 2",4
18.540,Центральный район,"Ковенский переулок, дом 25",2
18.541,Центральный район,"Ковенский переулок, дом 26",1
18.542,Центральный район,"Ковенский переулок, дом 30/7",1
18.543,Центральный район,"Ковенский переулок, дом 5, литера Б",1
18.544,Центральный район,"Ковенский переулок, дом 6",4
18.545,Центральный район,"Ковенский переулок, дом 9",6
18.546,Центральный район,"Ковенский переулок, дом 9, литера Б",1
18.547,Центральный район,"Колокольная улица, дом 1",5
18.548,Центральный район,"Колокольная улица, дом 15/21",5
18.549,Центральный район,"Колокольная улица, дом 18",1
18.550,Центральный район,"Колокольная улица, дом 2/18",9
18.551,Центральный район,"Колокольная улица, дом 3",3
18.552,Центральный район,"Колокольная улица, дом 7",2
18.553,Центральный район,"Колокольная улица, дом 8",4
18.554,Центральный район,"Колокольная улица, дом 9",2
18.555,Центральный район,"Коломенская улица, дом 1/15",6
18.556,Центральный район,"Коломенская улица, дом 10",7
18.557,Центральный район,"Коломенская улица, дом 11, литера Б",1
18.558,Центральный район,"Коломенская улица, дом 11, литера В",1
18.559,Центральный район,"Коломенская улица, дом 13",7
18.560,Центральный район,"Коломенская улица, дом 22",7
18.561,Центральный район,"Коломенская улица, дом 22, опора освещения",5
18.562,Центральный район,"Коломенская улица, дом 23",3
18.563,Центральный район,"Коломенская улица, дом 25",2
18.564,Центральный район,"Коломенская улица, дом 27",5
18.565,Центральный район,"Коломенская улица, дом 30",1
18.566,Центральный район,"Коломенская улица, дом 31",2
18.567,Центральный район,"Коломенская улица, дом 35-37",9
18.568,Центральный район,"Коломенская улица, дом 42",1
18.569,Центральный район,"Коломенская улица, дом 44",1
18.570,Центральный район,"Коломенская улица, дом 5, литера Е",2
18.571,Центральный район,"Коломенская улица, дом 6, литера Б",1
18.572,Центральный район,"Коломенская улица, дом 7",5
18.573,Центральный район,"Коломенская улица, дом 8",3
18.574,Центральный район,"Конная улица, дом 10",3
18.575,Центральный район,"Конная улица, дом 11/4",3
18.576,Центральный район,"Конная улица, дом 15",2
18.577,Центральный район,"Конная улица, дом 20",1
18.578,Центральный район,"Конная улица, дом 22/5",3
18.579,Центральный район,"Конная улица, дом 26",1
18.580,Центральный район,"Конная улица, дом 28, корпус 1",1
18.581,Центральный район,"Конная улица, дом 3/4, литера К",1
18.582,Центральный район,"Конная улица, дом 30",1
18.583,Центральный район,"Конная улица, дом 32",6
18.584,Центральный район,"Конная улица, дом 4",2
18.585,Центральный район,"Конная улица, дом 5/3",5
18.586,Центральный район,"Конная улица, дом 8",3
18.587,Центральный район,"Константина Заслонова улица, дом 6",10
18.588,Центральный район,"Конюшенная площадь, дом 2, литера Д",6
18.589,Центральный район,"Конюшенный переулок, дом 1/6",8
18.590,Центральный район,"Костромская улица, дом 3",4
18.591,Центральный район,"Красноборский переулок, дом 7-9",2
18.592,Центральный район,"Красного Текстильщика улица, дом 10-12Д",4
18.593,Центральный район,"Красного Текстильщика улица, дом 13",2
18.594,Центральный район,"Красного Текстильщика улица, дом 17",1
18.595,Центральный район,"Красного Текстильщика улица, дом 9-11",1
18.596,Центральный район,"Кременчугская улица, дом 11, корпус 1",1
18.597,Центральный район,"Кременчугская улица, дом 11, корпус 2",2
18.598,Центральный район,"Кременчугская улица, дом 11, корпус 3, строение 1",1
18.599,Центральный район,"Кременчугская улица, дом 13, корпус 1",1
18.600,Центральный район,"Кременчугская улица, дом 17, корпус 2",3
18.601,Центральный район,"Кременчугская улица, дом 19, корпус 3",1
18.602,Центральный район,"Кременчугская улица, дом 21, корпус 3, строение 1",1
18.603,Центральный район,"Кременчугская улица, дом 25",1
18.604,Центральный район,"Кременчугская улица, дом 27",1
18.605,Центральный район,"Кременчугская улица, дом 9, корпус 1",1
18.606,Центральный район,"Кременчугская улица, дом 9, корпус 2",1
18.607,Центральный район,"Кузнечный переулок, дом 13",4
18.608,Центральный район,"Кузнечный переулок, дом 19-21",7
18.609,Центральный район,"Кузнечный переулок, дом 19-21, литера П",2
18.610,Центральный район,"Кузнечный переулок, дом 19-21, остановочный павильон общественного транспорта",2
18.611,Центральный район,"Кузнечный переулок, дом 20",2
18.612,Центральный район,"Кузнечный переулок, дом 8",8
18.613,Центральный район,"Лафонская улица, дом 1",3
18.614,Центральный район,"Лафонская улица, дом 3",1
18.615,Центральный район,"Лафонская улица, дом 5",1
18.616,Центральный район,"Лафонская улица, дом 6",6
18.617,Центральный район,"Лафонская улица, дом 6, остановочный павильон общественного транспорта",6
18.618,Центральный район,"Лиговский проспект 44, литера В",3
18.619,Центральный район,"Лиговский проспект, дом 10/118",15
18.620,Центральный район,"Лиговский проспект, дом 101",3
18.621,Центральный район,"Лиговский проспект, дом 105",10
18.622,Центральный район,"Лиговский проспект, дом 105, остановочный павильон общественного транспорта",4
18.623,Центральный район,"Лиговский проспект, дом 107",9
18.624,Центральный район,"Лиговский проспект, дом 109",7
18.625,Центральный район,"Лиговский проспект, дом 117",1
18.626,Центральный район,"Лиговский проспект, дом 119, литера Б",1
18.627,Центральный район,"Лиговский проспект, дом 125",4
18.628,Центральный район,"Лиговский проспект, дом 128, литера Б",2
18.629,Центральный район,"Лиговский проспект, дом 131, литера Б",1
18.630,Центральный район,"Лиговский проспект, дом 133, литера Б",3
18.631,Центральный район,"Лиговский проспект, дом 137",1
18.632,Центральный район,"Лиговский проспект, дом 143",8
18.633,Центральный район,"Лиговский проспект, дом 149",1
18.634,Центральный район,"Лиговский проспект, дом 17",6
18.635,Центральный район,"Лиговский проспект, дом 23",2
18.636,Центральный район,"Лиговский проспект, дом 27/7",6
18.637,Центральный район,"Лиговский проспект, дом 30",6
18.638,Центральный район,"Лиговский проспект, дом 39",1
18.639,Центральный район,"Лиговский проспект, дом 41/83",9
18.640,Центральный район,"Лиговский проспект, дом 44",5
18.641,Центральный район,"Лиговский проспект, дом 44 (пом.18)",1
18.642,Центральный район,"Лиговский проспект, дом 44 (пом.20)",1
18.643,Центральный район,"Лиговский проспект, дом 44 (прокуратура)",1
18.644,Центральный район,"Лиговский проспект, дом 44, литера Б",9
18.645,Центральный район,"Лиговский проспект, дом 44, литера Б (пом.8)",1
18.646,Центральный район,"Лиговский проспект, дом 44, литера Б (пом.9)",1
18.647,Центральный район,"Лиговский проспект, дом 44, литера Б (почта)",1
18.648,Центральный район,"Лиговский проспект, дом 44, литера В",9
18.649,Центральный район,"Лиговский проспект, дом 44, литера В (пом . 3)",1
18.650,Центральный район,"Лиговский проспект, дом 47",6
18.651,Центральный район,"Лиговский проспект, дом 48",1
18.652,Центральный район,"Лиговский проспект, дом 48, литера В",2
18.653,Центральный район,"Лиговский проспект, дом 50, литера Д",5
18.654,Центральный район,"Лиговский проспект, дом 50, литера М",2
18.655,Центральный район,"Лиговский проспект, дом 50, литера С",1
18.656,Центральный район,"Лиговский проспект, дом 50, литера Х",2
18.657,Центральный район,"Лиговский проспект, дом 52, литера К",1
18.658,Центральный район,"Лиговский проспект, дом 53",5
18.659,Центральный район,"Лиговский проспект, дом 55/4, остановочный павильон общественного транспорта",2
18.660,Центральный район,"Лиговский проспект, дом 57-59",2
18.661,Центральный район,"Лиговский проспект, дом 57-59, литера Э",2
18.662,Центральный район,"Лиговский проспект, дом 58",2
18.663,Центральный район,"Лиговский проспект, дом 6",10
18.664,Центральный район,"Лиговский проспект, дом 6, корпус 2, остановочный павильон общественного транспорта",2
18.665,Центральный район,"Лиговский проспект, дом 63",5
18.666,Центральный район,"Лиговский проспект, дом 67/22, литера В",1
18.667,Центральный район,"Лиговский проспект, дом 70",1
18.668,Центральный район,"Лиговский проспект, дом 71, остановочный павильон общественного транспорта",4
18.669,Центральный район,"Лиговский проспект, дом 72, литера Б",1
18.670,Центральный район,"Лиговский проспект, дом 74",2
18.671,Центральный район,"Лиговский проспект, дом 75-77",2
18.672,Центральный район,"Лиговский проспект, дом 75-77, литера Ж",2
18.673,Центральный район,"Лиговский проспект, дом 80",3
18.674,Центральный район,"Лиговский проспект, дом 81",5
18.675,Центральный район,"Лиговский проспект, дом 83, литера Г",1
18.676,Центральный район,"Лиговский проспект, дом 85, литера Б",1
18.677,Центральный район,"Лиговский проспект, дом 87, литера В",1
18.678,Центральный район,"Лиговский проспект, дом 88",3
18.679,Центральный район,"Лиговский проспект, дом 88, остановочный павильон общественного транспорта",4
18.680,Центральный район,"Лиговский проспект, дом 89/20",14
18.681,Центральный район,"Лиговский проспект, дом 9/31",2
18.682,Центральный район,"Лиговский проспект, дом 93",3
18.683,Центральный район,"Лиговский проспект, дом 97",3
18.684,Центральный район,Литейный мост,7
18.685,Центральный район,"Литейный мост, опора освещения",9
18.686,Центральный район,"Литейный проспект, дом 10",3
18.687,Центральный район,"Литейный проспект, дом 11",6
18.688,Центральный район,"Литейный проспект, дом 13",6
18.689,Центральный район,"Литейный проспект, дом 15",10
18.690,Центральный район,"Литейный проспект, дом 16",5
18.691,Центральный район,"Литейный проспект, дом 17-19",3
18.692,Центральный район,"Литейный проспект, дом 18",4
18.693,Центральный район,"Литейный проспект, дом 18/2",4
18.694,Центральный район,"Литейный проспект, дом 25",3
18.695,Центральный район,"Литейный проспект, дом 27",1
18.696,Центральный район,"Литейный проспект, дом 28",2
18.697,Центральный район,"Литейный проспект, дом 29",5
18.698,Центральный район,"Литейный проспект, дом 3",3
18.699,Центральный район,"Литейный проспект, дом 30",8
18.700,Центральный район,"Литейный проспект, дом 31",9
18.701,Центральный район,"Литейный проспект, дом 31, литера В",2
18.702,Центральный район,"Литейный проспект, дом 33",3
18.703,Центральный район,"Литейный проспект, дом 34, литера Б",4
18.704,Центральный район,"Литейный проспект, дом 34, литера В",3
18.705,Центральный район,"Литейный проспект, дом 35",1
18.706,Центральный район,"Литейный проспект, дом 40",4
18.707,Центральный район,"Литейный проспект, дом 43",9
18.708,Центральный район,"Литейный проспект, дом 45/8",8
18.709,Центральный район,"Литейный проспект, дом 46",4
18.710,Центральный район,"Литейный проспект, дом 48",2
18.711,Центральный район,"Литейный проспект, дом 49",6
18.712,Центральный район,"Литейный проспект, дом 51",20
